season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_rest_days,away_rest_days,home_form_l10,away_form_l10,home_wins
2020-21,ATL,TOR,112.26,109.96,106.94,110.98,101.21,97.86,1,2,0.506,0.341,1
2019-20,DAL,PHX,112.1,110.27,116.12,105.74,95.86,99.81,5,2,0.587,0.831,0
2019-20,IND,GSW,112.85,113.95,116.3,111.2,102.15,101.46,3,2,0.482,0.849,0
2020-21,LAC,NOP,112.25,109.46,112.11,112.31,98.3,99.27,3,3,0.657,0.614,1
2021-22,DEN,PHX,108.66,107.67,112.68,106.51,97.52,97.72,2,3,0.614,0.811,0
2019-20,MIN,TOR,109.92,112.33,111.9,112.9,101.35,98.33,3,1,0.481,0.533,1
2017-18,BKN,PHX,113.7,114.87,113.12,110.08,102.35,97.84,2,4,0.448,0.431,0
2014-15,OKC,IND,113.05,114.7,109.62,117.51,99.42,101.86,2,3,0.568,0.652,1
2017-18,NYK,ATL,108.79,106.87,114.5,114.41,93.35,101.01,1,2,0.258,0.425,1
2014-15,DAL,IND,110.68,114.34,112.87,114.26,98.07,101.51,4,3,0.302,0.203,1
2015-16,DAL,CLE,113.52,113.44,110.5,107.62,97.72,99.64,3,5,0.736,0.706,1
2016-17,BOS,DAL,109.78,109.87,109.98,111.88,99.31,97.24,3,4,0.432,0.441,1
2019-20,SAC,ATL,108.81,114.79,106.62,112.71,100.44,101.28,3,1,0.323,0.669,1
2014-15,PHX,BOS,109.93,110.79,113.54,107.84,99.77,96.73,2,3,0.499,0.796,0
2017-18,BKN,LAC,111.26,116.81,111.84,111.61,101.87,99.81,4,2,0.511,0.535,0
2015-16,SAC,BKN,115.2,115.16,106.98,107.63,99.05,97.9,2,3,0.442,0.413,0
2018-19,PHI,MIN,109.92,108.47,108.68,112.72,96.86,100.11,4,3,0.519,0.541,1
2015-16,LAL,BKN,108.61,112.5,111.86,107.72,98.12,98.63,2,4,0.699,0.693,0
2019-20,LAC,BOS,116.69,107.69,110.13,111.02,98.42,94.22,2,2,0.563,0.52,1
2017-18,MIA,LAC,114.34,108.6,112.23,109.69,96.52,98.08,1,1,0.281,0.156,1
2016-17,CHI,IND,113.24,113.47,111.72,112.66,99.87,100.76,4,3,0.525,0.288,0
2017-18,CLE,PHI,106.04,110.15,110.37,108.48,97.97,96.31,2,1,0.711,0.339,0
2020-21,BKN,DAL,113.13,113.8,107.72,112.3,98.88,96.95,3,2,0.496,0.352,1
2023-24,BOS,LAC,116.47,106.91,114.44,113.07,95.75,97.43,3,2,0.528,0.586,1
2015-16,IND,MIN,113.01,112.17,115.01,107.16,98.87,99.42,3,3,0.383,0.855,0
2016-17,DEN,PHI,113.4,110.88,111.54,109.22,98.77,99.33,2,2,0.528,0.328,1
2016-17,SAC,BOS,111.1,113.88,110.05,108.58,97.59,98.62,2,3,0.015,0.456,0
2023-24,MIL,LAC,109.22,111.33,111.09,113.69,99.44,99.71,1,3,0.333,0.665,1
2019-20,MIL,MIN,109.87,109.93,116.22,112.85,99.3,100.04,2,2,0.445,0.692,1
2016-17,TOR,BKN,112.4,113.14,115.64,111.12,96.71,99.56,1,3,0.334,0.807,1
2016-17,CLE,MIN,109.93,110.39,112.21,108.68,97.31,103.31,2,3,0.401,0.433,1
2021-22,IND,BKN,108.41,117.96,110.78,112.62,97.39,100.09,4,3,0.142,0.614,0
2017-18,MEM,NOP,112.49,109.02,112.02,113.73,101.84,100.77,2,2,0.591,0.193,1
2015-16,OKC,BOS,113.53,105.78,111.87,109.04,96.72,96.1,2,5,0.748,0.686,0
2022-23,GSW,SAC,112.43,107.46,112.9,113.32,100.57,100.21,3,3,0.733,0.419,1
2020-21,ATL,MEM,114.74,110.26,117.8,110.41,103.55,99.23,3,3,0.56,0.858,0
2015-16,PHX,MIN,115.88,110.67,115.75,107.87,98.26,99.15,2,3,0.628,0.61,0
2015-16,CLE,PHI,108.81,109.65,106.23,111.88,97.92,98.27,5,2,0.49,0.411,1
2021-22,CHI,OKC,108.75,111.32,110.92,113.38,96.2,99.04,3,3,0.426,0.443,1
2019-20,CHI,DAL,108.39,106.88,111.25,108.81,96.11,98.41,3,3,0.512,0.528,1
2015-16,CHI,SAC,112.44,115.3,116.32,112.45,97.54,101.01,2,2,0.133,0.639,0
2016-17,DAL,LAL,111.45,111.33,111.05,106.74,96.72,95.84,4,2,0.392,0.491,1
2015-16,MIA,PHX,110.5,103.74,113.95,113.35,95.17,99.26,2,2,0.247,0.388,1
2014-15,DAL,NOP,111.23,107.6,110.21,105.7,97.4,100.97,3,2,0.691,0.521,1
2019-20,IND,PHI,112.81,116.52,108.44,115.09,99.71,99.45,4,5,0.657,0.452,1
2015-16,TOR,DAL,112.34,110.23,109.94,110.25,98.83,96.89,2,1,0.38,0.495,0
2014-15,IND,MIN,113.92,116.19,111.71,110.56,101.59,98.82,4,2,0.339,0.345,1
2014-15,IND,BKN,112.43,114.13,113.23,113.59,100.0,99.25,1,3,0.102,0.52,1
2022-23,PHI,TOR,110.3,109.46,109.34,107.07,97.95,96.61,2,2,0.349,0.499,0
2015-16,PHX,SAC,114.68,109.84,118.35,110.08,99.14,101.36,2,2,0.593,0.793,1
2016-17,TOR,DEN,110.69,112.41,112.78,110.29,97.59,96.09,2,2,0.222,0.636,1
2014-15,PHX,CHI,113.24,113.67,110.33,112.08,97.59,98.71,1,4,0.329,0.379,0
2019-20,MIL,IND,115.16,105.94,114.14,114.57,100.68,99.19,4,3,0.537,0.526,1
2017-18,PHI,MIN,112.06,109.71,110.3,109.85,97.02,97.93,3,3,0.254,0.583,0
2014-15,OKC,CHI,117.6,107.61,109.74,113.41,100.46,96.42,2,4,0.633,0.399,1
2019-20,SAC,PHI,110.43,113.63,107.54,113.05,100.8,97.97,1,2,0.21,0.41,1
2019-20,BKN,BOS,111.33,112.2,111.7,109.8,99.29,93.97,4,3,0.548,0.431,0
2018-19,CHI,TOR,105.08,112.51,109.86,111.17,96.8,96.67,3,2,0.326,0.538,1
2014-15,ATL,IND,105.74,113.32,112.15,112.54,101.3,100.87,2,2,0.247,0.591,1
2018-19,BOS,IND,116.28,108.27,109.52,110.68,97.07,99.92,4,3,0.646,0.273,1
2020-21,PHX,LAC,112.01,107.93,112.59,110.14,100.7,98.8,2,3,0.468,0.457,0
2016-17,TOR,LAL,109.91,110.59,110.45,107.82,98.61,97.62,3,3,0.334,0.595,0
2019-20,MIN,NYK,112.17,110.16,108.6,106.33,101.01,95.33,3,2,0.514,0.436,0
2023-24,CLE,BKN,110.36,108.85,111.55,112.73,94.44,100.95,1,3,0.13,0.411,1
2019-20,BKN,IND,109.22,112.31,114.22,111.24,99.82,100.94,3,3,0.472,0.38,1
2015-16,IND,NOP,110.03,113.8,111.93,112.93,98.94,98.51,4,3,0.422,0.608,0
2021-22,OKC,DEN,111.14,109.13,111.05,111.09,98.19,98.28,3,4,0.686,0.75,1
2020-21,DEN,CHI,117.15,113.61,107.12,112.73,99.52,97.97,2,3,0.735,0.384,1
2018-19,DAL,MIN,110.26,110.67,112.52,114.71,95.2,98.89,2,3,0.339,0.429,1
2015-16,PHX,MIA,113.44,110.7,110.46,106.57,99.02,96.09,2,3,0.739,0.384,1
2018-19,TOR,MEM,112.43,111.74,112.86,108.67,99.23,100.61,3,3,0.32,0.403,0
2019-20,SAC,LAL,112.39,110.83,111.08,115.56,99.98,99.54,2,3,0.204,0.437,1
2016-17,BOS,MIN,110.41,106.2,106.77,110.73,97.42,99.84,2,2,0.444,0.412,1
2019-20,CLE,NOP,111.15,106.99,111.35,113.21,97.81,98.74,5,3,0.601,0.014,1
2023-24,PHI,NYK,113.52,109.5,103.59,106.37,99.67,92.98,2,3,0.361,0.351,1
2014-15,IND,LAC,108.94,113.76,108.75,115.42,100.1,99.92,2,4,0.333,0.309,0
2015-16,MIA,MIL,105.15,107.2,109.02,108.24,94.13,98.8,2,3,0.583,0.32,0
2021-22,PHI,LAL,110.95,106.76,111.73,107.82,97.58,99.21,1,2,0.389,0.672,1
2019-20,DEN,MIL,116.2,111.15,112.38,109.68,101.14,99.55,3,1,0.622,0.842,1
2017-18,DAL,TOR,112.83,109.87,106.28,113.68,97.31,100.72,2,1,0.63,0.39,1
2023-24,NYK,MIA,107.3,109.16,110.84,111.01,97.12,95.55,2,3,0.477,0.258,0
2016-17,BOS,GSW,114.35,109.72,113.42,111.72,98.66,98.72,4,2,0.601,0.635,1
2014-15,NOP,TOR,111.16,111.46,110.38,108.93,99.69,98.91,4,2,0.475,0.664,1
2020-21,DEN,LAL,115.66,111.96,111.41,114.64,97.78,99.4,2,2,0.936,0.376,1
2015-16,CHI,BOS,110.03,114.61,110.97,107.62,95.99,96.8,2,3,0.347,0.801,0
2016-17,NYK,PHX,107.58,107.04,114.96,107.35,95.59,99.01,2,3,0.49,0.721,0
2016-17,SAC,GSW,108.47,115.67,116.07,105.59,99.64,98.79,2,2,0.448,0.792,0
2017-18,OKC,MEM,111.85,111.5,110.82,106.65,97.92,100.56,4,4,0.581,0.63,0
2021-22,LAL,BOS,108.69,112.07,112.6,103.9,99.13,98.31,3,3,0.81,0.486,1
2021-22,IND,MIA,112.87,118.05,110.63,109.1,98.26,95.37,2,4,0.485,0.647,0
2014-15,PHI,DAL,114.16,110.28,116.27,110.42,97.31,98.71,2,5,0.573,0.56,0
2015-16,MIL,SAC,114.31,110.38,117.71,112.03,99.34,102.94,3,3,0.482,0.448,0
2014-15,BOS,CLE,114.78,106.54,108.59,108.27,95.66,98.46,2,3,0.897,0.384,1
2020-21,MIL,OKC,116.82,110.16,114.42,108.87,101.16,102.37,4,4,0.651,0.537,1
2021-22,LAL,DAL,112.98,109.09,113.91,116.07,100.45,96.52,2,3,0.32,0.286,1
2018-19,PHI,ATL,109.71,114.79,113.58,112.68,96.92,101.44,2,2,0.218,0.511,0
2017-18,MIA,DAL,108.69,107.65,112.95,111.58,97.78,96.81,4,3,0.645,0.507,0
2019-20,CHI,SAC,114.52,107.86,109.56,114.1,95.9,99.78,4,3,0.426,0.376,1
2019-20,GSW,ATL,117.57,110.61,112.97,112.36,100.15,100.95,2,3,0.596,0.247,1
2020-21,BOS,TOR,112.2,110.02,105.55,108.27,100.27,98.61,1,3,0.546,0.375,1
2023-24,NOP,LAL,112.88,107.21,114.65,107.88,99.11,100.23,3,4,0.13,0.452,1
2014-15,TOR,PHX,112.1,112.82,111.29,107.63,97.89,100.35,1,2,0.604,0.531,0
2017-18,MIL,DEN,109.83,104.96,118.34,109.04,99.59,97.81,2,3,0.665,1.0,0
2020-21,LAC,BOS,114.65,113.32,111.96,109.89,99.22,101.9,4,1,0.498,0.584,0
2021-22,DEN,PHI,112.71,108.77,113.0,109.19,99.09,97.68,4,1,0.772,0.507,1
2023-24,TOR,MIN,109.98,116.94,110.91,111.75,99.24,101.9,2,2,0.478,0.183,0
2019-20,MIL,BKN,111.19,106.36,112.93,111.64,100.39,99.91,5,1,0.763,0.648,1
2017-18,ATL,OKC,113.22,113.14,108.36,111.34,100.51,98.96,3,3,0.655,0.453,0
2018-19,DEN,TOR,113.66,109.98,114.53,115.3,100.5,98.0,2,3,1.0,0.721,1
2023-24,PHX,CLE,110.73,108.98,107.65,108.03,100.92,95.21,3,1,0.334,0.502,1
2014-15,CHI,NOP,106.88,108.78,114.11,109.97,95.51,101.83,2,3,0.21,0.652,1
2020-21,LAC,CLE,110.05,110.03,112.54,105.46,98.88,95.65,3,3,0.439,0.555,1
2015-16,MIA,ATL,104.76,106.88,107.66,116.42,93.34,100.32,4,3,0.435,0.291,1
2022-23,ATL,GSW,110.69,115.51,112.21,108.07,104.85,101.98,4,3,0.738,0.428,0
2014-15,ATL,CHI,109.81,110.13,107.98,110.37,102.17,96.99,4,3,0.302,0.615,0
2020-21,DEN,PHI,114.51,112.03,112.21,110.11,98.37,97.67,4,3,0.662,0.631,1
2022-23,MIA,MIL,108.79,104.32,114.46,105.76,95.08,100.26,2,3,0.73,0.702,0
2018-19,PHX,IND,117.31,110.54,111.47,107.68,99.67,100.64,1,5,0.481,0.522,1
2017-18,GSW,CHI,115.21,109.95,110.0,111.44,101.72,97.21,2,2,0.866,0.705,1
2021-22,LAC,NOP,114.96,112.68,113.99,112.75,99.65,100.21,3,3,0.581,0.719,1
2019-20,OKC,GSW,116.42,109.8,117.51,108.28,96.61,101.1,3,3,0.702,1.0,1
2015-16,DAL,NOP,109.9,115.64,113.9,113.61,96.12,101.51,2,2,0.631,0.5,0
2021-22,ATL,MEM,108.82,109.66,107.78,111.55,102.99,101.71,2,3,0.593,0.514,1
2015-16,PHX,PHI,110.57,110.36,105.66,108.79,98.76,95.89,3,2,0.325,0.626,0
2019-20,CHI,SAC,111.06,112.25,112.9,116.35,95.06,100.64,3,2,0.611,0.705,1
2019-20,PHI,ATL,110.62,111.84,106.97,109.88,99.97,103.4,2,3,0.478,0.455,0
2016-17,LAL,ATL,114.58,109.57,112.52,109.5,99.15,100.33,4,3,0.461,0.689,1
2018-19,IND,CLE,110.31,114.56,110.77,107.27,101.06,96.0,4,4,0.614,0.423,0
2017-18,IND,NYK,110.32,110.13,107.55,109.0,100.76,92.65,3,2,0.315,0.727,1
2014-15,MIN,NYK,114.71,114.28,108.2,108.65,99.73,94.02,2,4,0.691,0.714,1
2023-24,DAL,SAC,110.68,112.46,112.68,113.75,96.99,99.71,4,2,0.44,0.459,0
2014-15,LAL,MIA,113.64,113.0,107.56,109.01,98.19,94.62,3,3,0.654,0.353,1
2018-19,PHX,MIA,115.29,112.6,110.1,108.68,99.44,92.75,3,2,0.544,0.623,1
2014-15,CLE,MIA,111.3,106.88,110.12,111.52,97.63,95.34,3,2,0.517,0.241,1
2023-24,DEN,GSW,110.87,106.96,112.34,107.74,99.9,100.37,3,3,0.691,0.49,1
2019-20,GSW,LAL,119.64,109.88,109.28,113.51,96.8,99.74,3,4,0.84,0.396,1
2020-21,MEM,NYK,113.57,108.74,109.09,105.59,99.37,98.93,2,3,0.56,0.422,0
2018-19,DAL,CLE,109.53,109.51,108.34,110.32,96.24,96.87,2,3,0.471,0.991,1
2019-20,BOS,BKN,110.32,104.5,114.44,114.03,96.59,99.35,1,4,0.46,0.58,1
2019-20,IND,CLE,114.35,112.16,111.19,109.98,101.42,99.15,5,5,0.349,0.651,1
2022-23,CHI,CLE,112.29,114.57,115.08,109.87,96.0,93.36,3,2,0.771,0.752,0
2018-19,CLE,BKN,113.95,105.54,113.23,117.34,97.28,97.01,2,2,0.536,0.343,1
2019-20,OKC,LAL,114.96,110.39,110.98,113.83,96.34,100.02,1,2,0.879,0.539,1
2017-18,DEN,NOP,119.33,105.18,112.22,110.4,96.9,99.18,2,3,0.707,0.375,1
2017-18,LAL,CLE,114.49,109.42,111.21,111.33,97.78,97.96,1,5,0.798,0.27,0
2021-22,BOS,DAL,114.03,105.34,113.93,114.84,98.1,97.13,5,2,0.618,0.601,1
2018-19,NOP,DAL,108.12,113.12,110.82,113.42,101.88,96.54,2,4,0.415,0.383,0
2019-20,NOP,GSW,110.61,111.13,114.33,110.72,97.52,102.72,3,3,0.528,0.964,0
2023-24,CHI,MIN,108.7,108.3,107.66,111.15,95.24,99.44,4,2,0.548,0.562,1
2019-20,TOR,GSW,111.9,111.42,118.29,109.74,97.73,99.33,2,2,0.519,0.635,0
2023-24,MIL,TOR,111.73,108.0,110.78,111.35,97.47,99.0,2,3,0.562,0.572,1
2018-19,CHI,DEN,107.59,115.88,113.35,104.86,97.02,100.87,3,1,0.241,0.758,0
2023-24,PHX,DEN,107.86,109.82,115.23,110.63,99.6,97.15,3,2,0.57,0.809,0
2020-21,PHI,NYK,107.04,114.02,106.21,106.26,98.77,98.9,3,2,0.462,0.512,0
2019-20,MIA,NOP,109.74,105.27,112.8,112.33,93.69,96.18,3,2,0.511,0.479,1
2014-15,MIN,NYK,112.61,109.88,109.89,105.54,101.05,94.33,3,1,0.674,0.525,1
2016-17,NOP,MIN,113.61,113.52,110.83,110.04,102.08,101.31,1,3,0.476,0.297,1
2019-20,DEN,NYK,117.78,112.06,111.65,110.05,101.07,96.18,2,2,0.475,0.322,1
2014-15,LAL,BKN,115.82,111.8,116.48,110.52,98.51,100.05,3,3,0.546,0.579,1
2016-17,MEM,LAL,112.91,110.79,110.63,107.68,100.59,97.37,4,4,0.309,0.401,1
2022-23,MIA,GSW,110.97,106.98,114.55,105.15,94.94,100.15,3,3,0.446,0.71,1
2014-15,LAL,NOP,113.13,108.76,112.6,113.72,98.66,100.27,3,2,0.531,0.619,1
2021-22,CHI,LAL,111.54,106.52,110.5,108.84,95.66,98.71,2,4,0.434,0.552,1
2019-20,OKC,NYK,116.33,107.61,108.89,109.28,97.03,98.32,1,4,0.765,0.268,1
2015-16,LAL,ATL,110.19,107.78,106.95,115.36,97.97,100.66,1,1,0.399,0.497,0
2015-16,IND,SAC,112.05,115.39,113.86,114.09,98.06,102.06,3,5,0.317,0.891,0
2019-20,LAC,MIN,114.33,112.25,114.14,112.35,100.23,100.3,2,2,0.614,0.743,0
2015-16,PHX,ATL,115.53,108.03,109.16,111.62,97.94,102.1,2,3,0.722,0.422,1
2019-20,OKC,LAL,114.54,108.93,110.96,111.37,96.65,98.82,1,1,0.924,0.567,1
2023-24,MIN,NYK,117.52,110.46,107.03,107.76,101.13,95.74,3,3,0.552,0.48,1
2019-20,DEN,LAL,113.39,110.07,114.97,112.19,97.98,98.74,1,5,0.673,0.509,1
2020-21,ATL,SAC,110.76,110.13,112.63,115.84,103.27,103.66,4,2,0.237,0.668,1
2023-24,MIN,PHI,109.48,107.92,110.05,111.26,101.45,97.27,3,1,0.463,0.336,1
2019-20,PHX,IND,111.55,106.33,114.31,111.95,99.16,101.69,3,4,0.895,0.383,1
2023-24,MIL,MEM,112.54,110.36,113.74,110.07,98.91,100.64,2,1,0.708,0.586,0
2021-22,IND,NYK,113.88,119.09,111.52,107.79,96.67,96.06,4,2,0.36,0.6,1
2016-17,GSW,PHI,113.8,109.91,113.22,110.36,99.83,99.25,1,3,0.901,0.52,1
2017-18,IND,GSW,111.77,112.16,112.29,110.0,100.02,102.05,3,2,0.562,0.647,1
2014-15,BKN,MIA,110.8,112.94,109.43,106.87,100.85,95.96,4,2,0.055,0.499,0
2022-23,TOR,PHX,111.93,111.4,111.3,105.21,96.46,100.61,2,2,0.465,0.852,0
2015-16,ATL,MIN,107.98,115.29,111.54,110.56,101.36,98.99,3,1,0.312,0.759,1
2022-23,GSW,CHI,112.96,106.98,109.09,114.02,101.94,96.36,2,4,0.734,0.449,1
2019-20,MIN,IND,113.27,113.56,111.84,114.83,101.25,101.53,1,3,0.731,0.545,1
2014-15,MIN,PHI,113.56,113.17,114.78,111.06,99.7,96.21,3,2,0.514,0.347,0
2023-24,MIL,CLE,111.08,110.7,105.96,105.0,98.52,96.33,4,4,0.335,0.461,1
2017-18,PHX,LAC,109.34,108.81,111.3,112.32,97.79,98.45,5,2,0.764,0.415,1
2018-19,BKN,LAL,107.71,115.64,111.53,112.15,95.64,97.7,2,3,0.429,0.528,0
2014-15,MIN,CHI,111.99,110.13,111.2,109.26,98.68,96.84,1,3,0.801,0.404,1
2018-19,LAL,TOR,112.39,108.08,111.09,110.01,95.94,98.2,2,3,0.656,0.363,1
2021-22,CHI,BKN,110.34,110.03,110.11,113.97,94.6,97.51,3,3,0.48,0.741,1
2019-20,PHI,LAL,110.69,106.68,105.58,112.97,98.34,98.34,3,2,0.633,0.428,1
2018-19,GSW,MEM,117.84,108.06,117.14,110.16,101.07,100.26,5,3,0.43,0.773,0
2022-23,OKC,SAC,114.34,104.96,114.08,113.91,101.76,101.94,2,3,0.655,0.648,1
2018-19,IND,CHI,110.32,111.67,105.39,113.51,101.82,97.38,2,3,0.525,0.252,1
2021-22,CLE,IND,109.18,106.95,109.11,117.21,97.65,99.88,4,4,0.713,0.137,1
2017-18,LAL,GSW,110.19,113.73,110.72,107.81,99.95,100.92,4,2,0.655,0.899,0
2014-15,PHI,NYK,114.74,110.07,109.35,106.32,95.93,94.73,2,4,0.623,0.683,1
2014-15,TOR,MEM,110.03,114.25,114.25,108.23,98.51,103.3,3,2,0.549,0.415,0
2019-20,MIA,BOS,109.56,108.33,111.37,108.94,96.15,95.55,2,4,0.5,0.571,1
2019-20,MIA,DEN,108.17,104.97,111.53,111.4,97.77,99.25,2,2,0.564,0.389,1
2016-17,TOR,MIA,109.83,112.18,110.99,109.79,97.91,95.42,2,1,0.646,0.392,1
2019-20,LAL,NYK,111.7,109.31,110.74,108.26,99.23,96.65,4,2,0.515,0.521,1
2016-17,MIA,DAL,113.64,111.53,110.31,114.46,96.54,97.13,1,2,0.495,0.385,1
2023-24,NOP,PHI,112.64,109.3,112.76,114.24,98.85,98.58,3,2,0.333,0.571,1
2023-24,TOR,CHI,111.86,116.07,110.95,109.69,100.48,97.06,2,2,0.61,0.633,1
2018-19,NOP,MEM,110.35,115.87,108.21,112.34,101.69,99.7,2,2,0.292,0.493,1
2021-22,BOS,ATL,113.81,109.71,109.16,112.09,97.28,102.69,2,3,0.801,0.465,0
2019-20,OKC,NOP,118.45,109.45,112.74,115.3,95.94,98.18,3,4,0.694,0.652,1
2022-23,MEM,SAC,112.42,108.85,112.59,113.93,99.18,101.38,2,5,0.51,0.696,1
2021-22,MIN,BKN,112.07,111.59,111.07,115.7,98.91,98.77,4,2,0.433,0.537,1
2021-22,BKN,PHX,109.34,108.4,115.0,107.38,99.29,98.62,5,2,0.786,0.592,1
2018-19,TOR,ATL,110.85,113.28,112.76,110.34,97.94,102.71,4,3,0.893,0.74,1
2021-22,OKC,MIL,108.51,111.35,110.07,108.56,97.09,97.79,5,1,0.437,0.44,1
2020-21,GSW,LAL,112.26,106.58,112.05,112.09,99.63,99.78,2,1,0.599,0.361,1
2017-18,BOS,GSW,116.17,108.23,116.39,110.13,98.68,100.8,3,1,0.819,0.744,1
2014-15,MIA,PHX,114.9,108.3,111.86,110.43,93.86,101.48,3,2,0.267,0.398,1
2019-20,BKN,IND,111.67,108.37,113.99,113.1,101.12,100.38,3,2,0.635,0.395,1
2014-15,NYK,GSW,109.43,106.2,116.25,103.37,94.57,102.16,2,2,0.523,0.931,0
2018-19,PHX,TOR,117.64,111.48,109.43,113.0,100.01,100.08,4,2,0.682,0.488,1
2020-21,PHX,BKN,110.5,112.28,116.65,112.2,98.89,100.48,5,1,0.513,0.683,0
2019-20,NOP,MIN,110.94,109.6,112.17,113.94,98.25,99.85,3,3,0.496,0.708,1
2021-22,GSW,LAL,115.19,111.65,112.84,108.38,99.54,99.6,2,3,0.526,0.59,1
2020-21,CHI,PHX,110.79,115.65,112.26,109.15,97.58,98.97,3,3,0.406,0.416,0
2015-16,LAC,MIA,109.97,114.58,110.07,109.11,98.9,94.72,3,3,0.481,0.591,0
2014-15,BKN,MIA,112.36,119.1,110.94,107.43,101.11,93.61,3,2,0.482,0.224,1
2022-23,IND,ATL,112.56,112.89,112.67,110.05,101.75,102.0,5,4,0.643,0.512,1
2019-20,MIL,IND,112.01,107.04,109.63,115.36,99.76,100.99,5,1,0.532,0.64,1
2019-20,SAC,DEN,109.65,112.12,113.78,111.1,99.71,98.22,2,2,0.205,0.684,0
2014-15,SAC,PHI,109.2,114.14,115.5,111.22,99.67,96.65,1,2,0.17,0.472,0
2016-17,LAC,SAC,115.62,109.97,109.78,111.72,100.38,99.36,3,2,0.555,0.435,1
2018-19,CLE,MIA,110.97,108.64,112.47,106.38,95.46,92.65,2,4,0.675,0.715,0
2020-21,IND,MEM,111.78,115.82,116.3,108.65,100.35,98.36,2,4,0.347,0.844,0
2019-20,IND,OKC,110.74,119.32,115.86,107.38,100.69,94.59,4,3,0.335,0.61,0
2017-18,DEN,CHI,114.96,108.53,105.63,109.46,96.49,97.29,3,1,0.739,0.409,1
2021-22,IND,NOP,112.5,115.72,114.98,112.29,98.85,98.74,3,3,0.248,0.49,0
2017-18,MIA,LAL,107.96,108.58,110.74,111.9,96.01,99.42,2,1,0.516,0.412,1
2015-16,IND,DEN,110.66,117.39,118.3,109.92,98.53,98.52,3,2,0.47,0.686,0
2014-15,OKC,NYK,112.6,112.82,111.76,108.1,99.27,95.21,2,3,0.359,0.4,0
2020-21,NOP,NYK,112.61,111.44,104.57,106.83,99.52,98.23,3,4,0.887,0.475,1
2015-16,PHI,PHX,108.71,108.94,111.15,107.43,97.83,99.02,3,1,0.51,0.774,1
2014-15,GSW,MIL,116.6,107.69,115.92,109.95,101.99,99.38,4,1,0.658,0.576,1
2020-21,MIA,CLE,108.64,108.32,108.47,106.31,98.46,95.94,2,5,0.385,0.293,1
2020-21,TOR,MIL,109.37,112.78,115.81,106.82,99.15,99.9,3,2,0.317,0.856,0
2023-24,PHX,MIL,106.78,112.28,108.05,110.82,100.14,99.31,3,1,0.465,0.439,1
2020-21,DEN,BOS,110.59,113.04,115.75,107.62,99.34,99.88,2,2,0.527,0.566,0
2016-17,MIL,NYK,115.53,112.08,111.23,107.94,100.35,95.96,1,2,0.563,0.463,0
2020-21,NOP,NYK,113.64,110.9,104.91,106.54,100.32,97.84,1,2,0.535,0.996,1
2019-20,TOR,IND,108.22,111.0,116.18,114.32,96.4,100.27,2,4,0.407,0.326,1
2019-20,CLE,GSW,112.02,110.22,114.6,106.8,98.81,98.32,4,2,0.347,0.581,0
2017-18,DAL,PHI,113.98,110.52,108.23,107.93,96.6,96.15,2,4,0.454,0.67,1
2023-24,LAC,MIL,112.38,113.65,112.38,108.99,97.15,100.99,3,1,0.573,0.405,0
2019-20,BKN,CHI,109.13,107.62,111.6,107.98,97.83,96.54,5,2,0.482,0.542,1
2015-16,LAC,TOR,111.59,112.32,110.72,110.44,98.92,99.66,4,3,0.752,0.409,0
